nt_code,microbe_label,species_label,species_name,genus,family,phylum,ENZ001,ENZ002,ENZ003,ENZ004,ENZ005,ENZ006,ENZ007,ENZ008,ENZ009,ENZ010,ENZ011,ENZ012,ENZ013,ENZ014,ENZ015,ENZ016
NT5071,Parabacteroides merdae,Parabacteroides merdae,Parabacteroides merdae (S1) 19495,Parabacteroides,Porphyromonadaceae,Bacteroidetes,0.6,0.6,,,0.8,0.8,0.35,0.8,0.8,,,,,0.8,0.35,0.8
NT5072,Streptococcus parasanguinis,Streptococcus parasanguinis,Streptococcus parasanguinis (S2) DSM 6778,Streptococcus,Streptococcaceae,Firmicutes,,0.8,,,0.8,0.8,0.8,0.8,0.8,0.6,,,0.35,0.8,0.35,0.8
NT5073,Collinsella aerofaciens,Collinsella aerofaciens,Collinsella aerofaciens (S2) DSM 3979,Collinsella,Coriobacteriaceae,Actinobacteria,,0.8,,,0.8,0.8,0.8,,0.35,0.8,,,,0.8,0.35,0.8
NT5074,Parabacteroides distasonis,Parabacteroides distasonis,Parabacteroides distasonis (S2) DSM 20701,Parabacteroides,Porphyromonadaceae,Bacteroidetes,0.6,0.8,,,0.8,0.8,0.8,0.8,0.8,,,,,0.8,0.35,0.8
NT5075,Eubacterium eligens,Eubacterium eligens,Eubacterium eligens (S1) DSM 3376,Eubacterium,Eubacteriaceae,Firmicutes,0.6,,,,,,,,,,0.8,0.8,0.6,,,
NT5076,Dorea formicigenerans,Dorea formicigenerans,Dorea formicigenerans (S1) DSM 3992,Dorea,Lachnospiraceae,Firmicutes,,0.8,,,0.8,0.8,,,0.8,,0.35,0.35,0.35,0.8,0.35,
NT5077,Escherichia coli IAI1,Escherichia coli IAI1,Escherichia coli (S1) IAI1,Escherichia,Enterobacteriaceae,Proteobacteria,1.0,,0.8,1.0,0.6,0.6,,,,,,,,,,
NT5078,Escherichia coli ED1a,Escherichia coli ED1a,Escherichia coli (S1) ED1a,Escherichia,Enterobacteriaceae,Proteobacteria,1.0,,0.8,1.0,0.6,0.6,,,,,,,,,,
NT5079,Roseburia hominis,Roseburia hominis,Roseburia hominis (S1) DSM 16839,Roseburia,Lachnospiraceae,Firmicutes,0.8,,,,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.35,0.35,0.8,0.35,
NT5080,Coprococcus catus,Coprococcus catus,Coprococcus catus (S1) ATCC 27761,,,,,,,,0.8,0.8,,,0.8,0.8,,,0.35,0.8,0.35,
NT5080,Coprococcus catus,Coprococcus catus,Coprococcus catus (S1) ATCC 27761,Coprococcus,,,,,,,,,,,,,0.35,0.35,,,,
NT5081,Odoribacter splanchnicus,Odoribacter splanchnicus,Odoribacter splanchnicus (S2) DSM 20712,Odoribacter,Porphyromonadaceae,Bacteroidetes,,0.8,,,0.8,0.8,0.8,,0.8,,,,,0.8,0.35,0.8
NT5082,Clostridium leptum,Clostridium leptum,Clostridium leptum (S1) DSM 753,,,,,0.8,,,0.8,0.8,,0.8,0.8,,,,0.35,0.8,0.35,0.8
NT5082,Clostridium leptum,Clostridium leptum,Clostridium leptum (S1) DSM 753,Clostridium,,,0.6,,,,,,,,,,0.8,0.8,,,,
NT5083,Clostridium difficile,Clostridium difficile,Clostridium difficile (TODO),Peptoclostridium,Clostridiaceae,Firmicutes,0.35,,,,0.8,0.8,0.35,,,,0.35,0.35,0.35,0.8,,0.8
